codigo_ot,equipo,clavero,actuacion,fecha_creacion,descripcion_ot,descripcion_averia,descripcion_reparacion,comentarios
8214560,7066-CO_926-R1,FRE010113,T71,4/26/2022 18:24,UT 926 R1 FALLA ANTIRRETORNO CIRCUITO DE FRENO,SE DESMONTA Y DETECTA MUELLE INTERNO DESVIADO,"SE RECUPERA , MONTA Y PRUEBA. OK",""""""
6732963,7066-CO_926-R2,FRE0703,T62,10/2/2019 11:17,UT926 R3 ZAPATAS DETERIORADAS (CRISTALIZADAS),CRISTALIZADAS,CAMBIAR,""""""
7095131,7066-CO_927-M1,FRE09,T71,5/19/2020 10:32,UT 927 M1 FALLO DE PRESION OBJETIVO EN EPAC,FALTA HACER OVERHAUL,COMENTARIOS,"19-5-20#AITZ###LA UT 927 M1 TIENE UN EPAC EN FALLO DE PRESION OBJETIVO PROVENIENTE DE LA UT 917 (OT-7093751)#N/S 019###PENDIENTE DE CAMBIO, A ESPERA DE QUE LLEGUEN EPACS DE M#					26/05/2020        SAUL/IBAI###M2     QUITADO            066  02/13#         COLOCADO        060  10/12###R2     QUITADO            067   05/13#         COLOCADO       051   06/12###R1     QUITADO            066    05/13#         COLOCADO       046    05/12###M1     QUITADO            019    06/18#         COLOCADO        055    08/12###					OT VA CON NCR 418868 (N/S 019)"
7213085,7066-CO_905-R1,FRE0704,T70,8/10/2020 19:41,UT 905 R1  BOG 3 FALTA ZAPATA Y PORTAZAPATAS TOCA DISCO,VER COMENTARIOS,SUSTITUCION,"10 08 2020 LAURE , LANDER , ANDONI##EL TREN A CIRCULADO SIN ZAPATA POR LO QUE EL PORTAZAPATAS A ROZADO CONSTANTEMENTE CONTRA EL DISCO .###SE SUSTITUYE PORTAZAPATAS ##PENDIENTE VALORAR DAÑOS PRODUCIDOS EN DISCO#					21 08 2020 LANDER , LAURE ###SE VALORA DISCO OK"
7372241,7066-CO_916-R1,FRE0707,T70,11/23/2020 13:26,UT 916 R1 BOG 4 SIRGA FRENO ESTACIONAMIENTO NO ACTUA,TRINQUETE MAL,SE REPARA,""""""
5649943,7066-UT_906,FRE0703,"""""",12/1/2017 8:45,"UT906 MONTAR ZAPATAS FRENO ""ICER"" UT COMPLETA + CALIPRI (ARASO). CAMBIADAS 22/12",SUSTITUIR LAS ZAPATAS ACTUALES JURID POR ICER. CALIPRI CADA 3 MESES,SE CAMBIAN TODAS LAS ZAPATAS,"11_4_18 IKER##EJES 2 Y 3 BIEN##EJE 14 TIENE UN PEQUEÑO CRATER PERO ESTÁ BIEN##EJE 15 BIEN#					12/04/2018 OMAR#SIGUE TENIENDO CRATERES CON LAS ZAPATAS ICER"
9683686,7066-CO_921-M2,FRE0103,T70,9/6/2024 9:08,M2-OT_US3225A_EQ1 Retardo en la aplicación Freno Estacionamiento_EQ1,JUNTAS VALVULA DETERIORADAS,CAMBIAR JUNTAS,"<html><body>Freno estacionamiento cuesta aplicar<br/><a href=""https://leadmind.cafdigitalservices.com/eandd/variables?cc=ESK&pc=ce1&ut=921&startDT=2024-09-05T04:21:00.000Z&endDT=2024-09-05T06:21:00.000Z&templateId=525"" target=""_blank"">Link E&D</a></body></html>"
5354175,7066-CO_909-R2,FRE0706,"""""",5/31/2017 14:08,UT   909 R2 FRENO ESTACIONAMIENTO BOG 5 NO ACTUA,SIRGA MAL,SUSTITUCION,""""""
6356484,7066-CO_905-R2,FRE010302,T71,2/6/2019 13:24,UT 905 R2 BOG 5 SIRGA FRENO ESTACIONAMIENTO NO ACTUA,NO ACTUA,SUSTITUCION,""""""
8471222,7066-UT_920,FRE09,T79,10/8/2022 11:45,UT920 R1 FALLO DE SENSOR DE VELOCIDAD. 05/10/22 DESOUES OK. REVISAR,"VERIFICAR CAJS DE CONEX, LIMPIEZA CAJA DE GRASA, FUNCIONALIDAD",COMENTARIOS,"<html>14.10.22<span style=""white-space:pre"">	</span>TITO / ISMA<div>SE COMPRUEBAN CAJAS Y SENSORES DE VELOCIDAD R1. OK</div><div>CBM: SIN FALLOS DE VELOCIDAD EPAC NI REGISTRADOR</div></html>"
