Clavero,Código tarea std,Descripción componente,DEFINICION,Std Tasks Codes,Equipment description,DEFINITION,Fecha
FRE,FRE,Equipo de freno,,FREno,Brake equipment,,
FRE0101,FRE0101T70,Panel de control de freno directo,"Reparación o sustitución de elementos pertenecientes al Panel de freno directo y que no estén definidos en las claves subsiguientes  reparaciones mecánicas de elementos como tapas, juntas, cierres, sujeciones, etc…  
Se incluyen reparaciones mecánicas de elementos como tapas, juntas, cierres, sujeciones, etc… en paneles de tipo ""compacto"" o por bloques que controlan todas o algunas de  las funcionalidades del Sistema de freno como servicio, estacionamiento, auxilio, suministro, filtrado, etc... 
Ej Paneles tipo EP COMPACT, EP2002, etc",FRE0101T70,Direct brake control panel,"Repair or replacement of elements belonging to the direct Brake panel that are not defined in the subsequent codes   Mechanical repairs of elements such as covers, joints, seals, fixings, etc... Includes mechanical repairs of elements such as covers, joints, seals, fixings, etc... on ""compact"" type panels or for blocks that control all or some of the functionalities of the braking system, such as service, parking, auxiliary, supplier, filtering, etc... 
E.g. EP COMPACT type panels, EP2002, etc...",
FRE0101,FRE0101T71,Panel de control de freno directo,"Uso exclusivo paraSustitución y reparación posterior de paneles de freno ""compactos"" que controlan todas o algunas de las funcionalidades de freno como servicio, estacionamiento, auxilio, suministro, filtrado, suspensión, etc...
Ej Paneles tipo EP COMPACT, EP2002, etc",FRE0101T71,Direct brake control panel,"Exclusive use for replacement and subsequent repair of ""compact"" brake panels that control all or some of the brake functionalities such as service, parking, auxiliary, supply, filtering, suspension, etc... 
E.g EP COMPACT type panels, EP2002, etc...",
FRE0101,FRE0101T79,Panel de control de freno directo,"Denuncias de fallos en el sistema de freno del tren como frenadas de urgencia sin causa justificada, fallos en autotest de freno, etc... sin encontrar anomalía despues de la revision y comprobacion pertinente",FRE0101T79,Direct brake control panel,"Reports of failures in the train's braking system such as emergency braking without a justified cause, failures in the braking self-test, etc... without finding an anomaly after the relevant inspection and check",
FRE010101,FRE010101T62,    Toma manométrica,Sustitución y desecho de Toma manometrica en Panel de freno por no ser reparable,FRE010101T62,Pressure test point,Replacement and disposal of the Pressure test point on the Brake panel that is beyond repair,
FRE010101,FRE010101T70,    Toma manométrica,"Reparación o sustitución de elementos de la Toma manometrica como juntas, muelles, racor enchufable y sujeción, etc…  
Se incluye limpieza o engrase de toma manometrica   ",FRE010101T70,Pressure test point,"Repair or replacement of elements of the Pressure test point such as joints, springs, plug-in fitting and fixing, etc...
Includes cleaning and lubrication of the Pressure test point   ",
FRE010102,FRE010102T71,    Llave de aislamiento,Sustitución y reparación posterior de Llave de aislamiento en Panel de freno directo,FRE010102T71,Insulation switch,Replacement and subsequent repair of the isolation valve on the direct Brake panel,
FRE010103,FRE010103T16,    Valvula limitadora en función de la carga,Regulación de válvula limitadora de presión o de carga variable en función del peso del vehículo en Panel de freno,FRE010103T16,Variable load valve,Adjustment of the pressure limiter or variable load valve depending on the weight of the vehicle on the Brake panel,
FRE010103,FRE010103T71,    Valvula limitadora en función de la carga,Sustitución y reparación posterior de válvula limitadora de presión o de carga variable en Panel de freno  ,FRE010103T71,Variable load valve,Replacement and subsequent repair of the pressure limiter or variable load valve on the Brake panel  ,
FRE010104,FRE010104T70,    Electroválvula,"Reparación o sustitución de elementos pertenecientes a Electroválvulas en Panel de freno como finales de carrera, juntas, muelles, sujeciones, cableado interno, bobina, carcasas, etc…  
Se incluyen limpieza o engrase de elementos de Electroválvula",FRE010104T70,Electrovalve,"Repair or replacement of elements belonging to the solenoid valves on the Brake panel, such as limit switches, joints, springs, fixings, internal wiring, oil, housings, etc...
Includes cleaning or lubrication of solenoid valve elements",
